All_Poverty,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,falling,rising,stable,M_poverty_frac,F_poverty_frac,All_poverty_frac,M_with_frac,F_with_frac,All_with_frac,M_without_frac,F_without_frac,All_without_frac
91880,42180,49700,77348.0,76839.0,74474.0,59457.0,103602.0,59009.0,347674,63746,371628,51009,719302,114755,41.5,344.0,30.3,250.0,1.0,0.0,0.0,10252.29692285256,11759.500469670189,11016.033676355451,84505.85776092557,87930.7774757061,86241.34801338518,15494.142239074425,12069.222524293897,13758.651986614823
39688,18185,21503,54989.0,59421.0,36208.0,53810.0,46215.0,46885.0,87463,12481,95866,9946,183329,22427,42.3,74.0,34.3,60.0,0.0,0.0,1.0,18195.189306011365,20321.891656900916,19288.866424308406,87512.00672376531,90600.30998374475,89100.19634907365,12487.993276234693,9399.690016255245,10899.80365092634
15862,7384,8478,46892.0,48312.0,37386.0,31712.0,52528.0,41341.0,29943,5357,31024,4787,60967,10144,68.1,44.0,55.3,35.0,0.0,0.0,1.0,20917.84702549575,23674.29002261875,22305.9723530818,84824.3626062323,86632.5989221189,85734.97771090268,15175.637393767705,13367.401077881097,14265.022289097325
64241,29134,35107,58946.0,60451.0,43031.0,56750.0,58984.0,46978.0,189978,44652,197245,35868,387223,80520,52.6,182.0,39.0,133.0,0.0,0.0,1.0,12416.996973959,15060.078159519202,13734.251501358653,80969.18552614754,84613.47072020864,82785.41848835791,19030.814473852446,15386.529279791348,17214.581511642078
67679,31140,36539,63265.0,68266.0,46143.0,44038.0,66821.0,44998.0,252809,43197,271608,35597,524417,78794,47.5,253.0,33.7,177.0,0.0,0.0,1.0,10520.057025871098,11894.012141729463,11219.788763799068,85406.7147287555,88412.62349245617,86937.57242490604,14593.285271244502,11587.376507543822,13062.427575093954
42167,20822,21345,70961.0,72616.0,52284.0,38409.0,74525.0,42344.0,140104,14558,141062,12224,281166,26782,35.5,94.0,24.3,65.0,0.0,0.0,1.0,13462.906208376977,13924.950745664966,13692.896203255095,90587.21599358601,92025.36435160419,91303.07714289425,9412.784006413987,7974.635648395809,8696.922857105745
110299,52215,58084,53637.0,58585.0,33139.0,37257.0,51968.0,38740.0,267697,53725,282385,39310,550082,93035,48.5,264.0,36.2,196.0,0.0,0.0,1.0,16244.99878664186,18055.61168187258,17150.689532386798,83285.21383103832,87780.35095354295,85533.73647407859,16714.786168961677,12219.649046457049,14466.263525921411
12110,5653,6457,102964.0,103212.0,109333.0,66442.0,103926.0,92710.0,143468,8170,147150,7231,290618,15401,37.1,75.0,24.0,48.0,0.0,0.0,1.0,3727.9573721626507,4182.509505703421,3957.2706269872133,94612.16845381765,95316.1334620193,94967.30595159125,5387.831546182356,4683.866537980711,5032.694048408759
4780,2769,2011,72214.0,74237.0,53015.0,54637.0,51943.0,52067.0,22270,5524,20430,4256,42700,9780,28.3,9.0,14.9,5.0,0.0,0.0,1.0,9962.581852198316,8146.317750951956,9108.231707317073,80125.20687918256,82759.45880256016,81364.32926829268,19874.793120817445,17240.541197439845,18635.67073170732
75033,33973,41060,58206.0,61208.0,47271.0,41645.0,60311.0,43176.0,266035,37593,290199,30351,556234,67944,50.3,282.0,35.7,196.0,1.0,0.0,0.0,11189.020775422556,12809.234128841055,12021.090137749166,87618.73081533983,90531.58633598502,89114.6435792354,12381.269184660176,9468.413664014974,10885.35642076459
46423,20756,25667,70164.0,70920.0,45554.0,68851.0,71856.0,51220.0,240890,28944,253891,22256,494781,51200,43.7,262.0,30.5,179.0,0.0,0.0,1.0,7692.136646975548,9294.687249906752,8502.676833076608,89273.40513056176,91940.5244308285,90622.3842954242,10726.594869438246,8059.475569171493,9377.615704575801
5432,2273,3159,60278.0,61385.0,28922.0,49663.0,57344.0,52960.0,21982,4645,22642,3415,44624,8060,34.4,19.0,24.6,13.0,0.0,0.0,1.0,8536.447966349946,12123.421729285796,10310.530711411433,82555.30101025275,86894.1167440611,84701.2375673829,17444.69898974725,13105.883255938903,15298.762432617114
42338,19766,22572,59805.0,60557.0,42036.0,36506.0,57875.0,46256.0,139780,17059,145434,13510,285214,30569,39.7,124.0,29.8,92.0,0.0,0.0,1.0,12602.732738668316,14201.228105496275,13407.308183151086,89123.24103061101,91500.15099657742,90319.61821884014,10876.758969388991,8499.849003422589,9680.381781159847
2055,1039,1016,45067.0,45376.0,45069.0,15568.0,39659.0,37436.0,5944,1071,6018,970,11962,2041,46.9,10.0,37.3,8.0,0.0,0.0,1.0,14811.11903064861,14539.21007441328,14675.426694279797,84732.71560940842,86119.06124785347,85424.55188173964,15267.28439059159,13880.938752146538,14575.448118260372
